best_loss,iter
best_loss,iter
best_loss,iter
4.013879418373108,36
1.9597477714220684,72
1.2065475483735402,108
1.1876080334186554,144
1.1812470853328705,216
1.1764813462893169,252
1.174727663397789,360
1.174689620733261,612
best_loss,iter
best_loss,iter
best_loss,iter
best_loss,iter
1.1986999015013378,36
1.1808035870393117,144
1.1802437752485275,180
1.173201526204745,216
1.172206203142802,612
1.17035969098409,648
1.1686658362547557,684
1.1581823378801346,900
1.1568882018327713,936
best_loss,iter
1.1548253496487935,36
1.1537114282449086,72
1.152229020992915,144
1.1515601774056752,180
1.1485467950503032,216
