best_loss,iter
2.2203803757826486,36
1.257138301928838,72
1.22779514392217,108
1.2225244144598644,144
1.2199550171693165,180
1.2157019178072612,252
1.2134285072485607,396
1.2111339767773945,504
1.2076059778531392,540
1.2020100951194763,576
1.190866380929947,612
1.1886522968610127,648
1.1851948897043865,684
1.1720420519510906,756
1.1590682566165924,900
1.1398074626922607,936
1.136076033115387,1008
1.0915341079235077,1044
1.0856525500615437,1116
1.021939903497696,1188
0.9546783715486526,1260
0.9223187665144602,1476
0.8743927131096522,1512
0.8482812543710073,1728
0.8436318039894104,1800
0.8119060893853506,1836
0.8090540319681168,1980
0.8040146480003992,2124
0.790250172217687,2232
0.7648453762133917,2268
0.7451542119185129,2592
0.7356748928626379,2700
0.7280162374178568,2736
0.7264117499192556,2916
0.7217136273781458,2988
0.7150309085845947,3060
0.7128093192974726,3096
0.7115017573038737,3276
0.7107265243927637,3384
0.7027896543343862,3492
0.6917190303405126,3528
0.6836437880992889,3600
0.6796259184678396,3888
0.6681972990433375,3924
0.6642970393101374,4032
0.6559079935153326,4068
0.6530288308858871,4392
0.6456513404846191,4464
0.6432938476403555,4536
0.6342299034198126,4788
0.6276862621307373,4968
0.6237389942010244,5040
0.6234223246574402,5076
0.6199888388315836,5112
0.616131603717804,5292
0.6111310770114263,5508
0.6077633202075958,5544
0.6076464553674062,5616
0.5987972170114517,5940
0.5977685997883478,6084
0.5968583027521769,6372
0.5895548090338707,6444
0.5832562098900477,6516
0.5823730031649271,6696
0.5753243813912073,7020
0.5734273468454679,7344
0.5696582769354185,7380
0.5688448871175448,7416
0.5675186564524969,7560
0.5666554321845373,7668
0.5644900451103846,7776
0.5638437320788702,7812
0.5611379320422808,7848
0.5562009687225024,7920
0.553829570611318,8460
0.5517235745986303,8496
0.5490955909093221,8820
0.5433001642425855,8856
0.5341455911596616,9684
0.5334868853290876,9756
0.529777449866136,10116
0.5283657759428024,10764
0.5213874528805414,10836
0.5189439306656519,11304
0.5175944219032923,11592
0.5175934930642446,11664
0.5138985613981882,11988
0.5116881852348646,12276
0.5104891285300255,12384
0.5082663794358572,12420
0.5053253720204035,12636
0.5035076985756556,12708
0.5026600062847137,13212
0.4981873532136281,13392
0.495722196996212,13932
0.4952610631783803,14112
0.4946880986293157,14364
0.49179406464099884,14400
0.48716171085834503,14508
0.48603566735982895,14652
0.4842172885934512,14796
0.4792763764659564,15264
0.47615135957797367,15660
0.4722801024715106,16056
0.4685381030042966,16344
0.464239701628685,16524
0.46210599442323047,16992
0.4590304270386696,17388
