best_loss,iter
2.3467697699864707,36
1.2300075093905132,72
1.2203500668207805,108
1.1971761286258698,144
1.1821913719177246,180
best_loss,iter
1.2072109530369441,36
1.1757476429144542,72
1.172179992000262,288
1.1719355781873066,432
1.1681801031033199,468
1.1663241237401962,540
1.1593012015024822,576
1.1588904360930126,648
1.1497357487678528,684
1.1473159541686375,756
1.1379914979139965,828
1.1344262212514877,864
1.1341059108575184,900
1.131957193215688,936
1.1215305825074513,972
1.1194847971200943,1152
1.1102044035991032,1188
1.0987521708011627,1404
1.0419573883215587,1548
0.9926840166250864,1656
0.9494422872861227,1764
0.9484570821126302,1800
0.9455043574174246,1836
0.8222988744576772,1872
0.8099167148272196,1944
0.7681291451056799,1980
0.7563297599554062,2016
0.7323297361532847,2052
0.7010781069596609,2088
0.687234510978063,2196
0.6716491083304087,2304
0.6603784412145615,2340
0.6541356792052587,2376
0.6527330974737803,2412
0.6501917988061905,2448
0.6446630507707596,2556
0.6235429917772611,2628
0.6205257574717203,2664
0.6183739652236303,2772
0.6181646287441254,2808
0.6156703780094782,2844
0.6140898317098618,2880
0.6024041200677553,2916
0.5930649066964785,3132
0.5889969418446223,3204
0.5885337044795355,3240
0.5805763627092043,3456
0.5766489108403524,3564
0.5751488904158274,3600
0.5748575503627459,3708
0.5624999205271403,3744
0.5621357734004656,3888
0.5574797789255778,3924
0.5529237488905588,4032
0.5478317638238271,4284
0.545419250925382,4536
0.5433039863904318,4716
0.5432885438203812,4896
0.5391567721962929,5076
0.537369521955649,5148
0.5313185403744379,5184
0.5311782509088516,5256
0.5291818529367447,5364
0.5272936969995499,5652
0.5233422021071116,5688
0.5207423294583956,5904
0.5181172067920367,5976
0.5166304782032967,6120
0.5123618692159653,6444
0.5092936977744102,6588
0.508303314447403,6984
0.5062091251214346,7236
0.5049794440468153,7524
0.49749507506688434,7956
0.4941181143124898,8532
0.4906287764509519,8964
0.489786555369695,9684
0.4836730013291041,9792
0.48261691878239316,10008
0.4820643936594327,10764
0.47516778856515884,11160
0.47253211836020154,11304
0.4724123800794284,11376
0.47185465941826504,11628
0.465092733502388,12348
0.46400989840428036,12636
0.4601573472221692,12744
0.45784519364436466,13464
0.45771385729312897,14112
0.4551117966572444,14328
0.45150919010241825,14616
0.446727491915226,15012
0.4451170265674591,15120
0.4418996299306552,15156
0.440414992471536,15696
0.4388208066423734,15732
0.4374381775657336,16236
0.43092819303274155,16560
0.42601344734430313,17028
0.42471423993508023,17496
0.4201079532504082,17892
0.4190934970974922,18216
0.41217465202013653,18792
0.41095572461684543,19044
0.4072712908188502,19944
0.4055924490094185,20196
0.40392714242140454,20988
0.40181367347637814,21132
0.400382732351621,21492
