loss,iter
0,3.824274778366089
loss,iter
0,1.328876558277342
36,1.2557137095265918
72,1.2638090136978362
108,1.3406777100430594
144,1.2544253087706037
180,1.3038005861971114
216,1.2668985194630094
252,1.2362905674510531
288,1.2772790524694655
324,1.2550702806976106
360,1.219398977027999
396,1.2358591109514236
432,1.2478090690241919
468,1.161154525147544
504,1.227607657512029
540,1.217965543270111
576,1.2814704808923933
612,1.1968503213591046
648,1.1656666447718937
684,1.2311979648139741
720,1.2322082370519638
756,1.129847326212459
792,1.2367058727476332
828,1.1843484093745549
864,1.203019802769025
900,1.1431099077065785
936,1.2248360580868192
972,1.2171553042199876
1008,1.1547192715936236
1044,1.207540409432517
1080,1.2328753305806055
1116,1.1978391938739352
1152,1.2252186586459477
1188,1.1783282508452733
1224,1.2293595837222204
1260,1.174434827433692
1296,1.1693589472108417
1332,1.2034684403075113
1368,1.1485917535093095
1404,1.2139314512411754
1440,1.1560710900359683
1476,1.1361943831046422
1512,1.1237993753618665
1548,1.158175332678689
1584,1.123358663585451
1620,1.1614176498519049
1656,1.1209081759055455
1692,1.0579271697335773
1728,1.008737274342113
1764,1.0142957584725485
1800,1.0711160980992847
1836,0.9415585928493075
1872,0.9917736152807871
1908,0.8846704661846161
1944,0.9079151252905527
1980,0.8925940460628934
2016,0.858283958501286
2052,0.8346173101001315
2088,0.8140156964461008
2124,0.8858890930811564
2160,0.8022069152858522
2196,0.7941877726051543
2232,0.7968954816460609
2268,0.8135625802808337
2304,0.7745544115702311
2340,0.7640421688556671
2376,0.7803602847788069
2412,0.773953260646926
2448,0.7705035342110528
2484,0.7643624486194717
2520,0.7071277581983142
2556,0.7839485887024138
2592,0.7302054133680131
2628,0.7106420281860564
2664,0.74167709880405
2700,0.6866432627042135
2736,0.6944690164592531
2772,0.7079866412613127
2808,0.704677626490593
2844,0.6779997870326042
2880,0.6863746982481744
2916,0.6724228950010406
2952,0.6997116671668159
2988,0.731434499224027
3024,0.665039093958007
3060,0.693279461728202
3096,0.6810683980584145
3132,0.6496653515431616
3168,0.6438040484984716
3204,0.6678669353326162
3240,0.6748338780469365
3276,0.6881923816270299
3312,0.670313643084632
3348,0.6786873713135719
3384,0.6526340030961566
3420,0.6731151772869958
3456,0.6723776145113839
3492,0.6789680562085576
3528,0.700857925746176
3564,0.6912531438801024
3600,0.6487246809734238
3636,0.6143412167827288
3672,0.621129586464829
3708,0.6480986956093047
3744,0.6589081999328401
3780,0.656466526289781
3816,0.6402864828705788
3852,0.6442823790841632
3888,0.6142500829365518
3924,0.6810679775145319
3960,0.6322231913606325
3996,0.6335950866341591
4032,0.6210726814137565
4068,0.6395023365815481
