best_loss,iter
2.341826399167379,36
1.2114254534244537,72
1.2030746241410573,108
1.1974579791227977,180
1.1801672925551732,216
1.1758259932200115,324
1.1725809176762898,360
1.1689906666676204,576
1.1650771299997966,648
1.1602523724238079,720
1.15877661605676,792
1.1545365651448567,864
1.1540518204371135,900
1.149196242292722,936
1.147051841020584,972
1.1414232403039932,1044
1.1256224513053894,1080
1.1194894860188167,1116
1.1094140460093815,1260
1.0737976630528767,1368
1.0549401938915253,1404
1.0486662089824677,1440
1.005441312988599,1476
1.0032850801944733,1548
0.9749671717484792,1584
0.9500489234924316,1656
0.9498513688643774,1692
0.9050512760877609,1728
0.8644546965758005,1764
0.8388216346502304,1872
0.8110476136207581,1944
0.7751634319623312,2016
0.7740667114655176,2052
0.7627786993980408,2232
0.7166082511345545,2268
0.7086763133605322,2412
0.6944417059421539,2484
0.6898504743973414,2700
0.6853133191665014,2736
0.6798289070526758,2844
0.673291007677714,2916
0.6709025700887045,2952
0.6621584097544352,3024
0.6559690882762274,3060
0.6494863207141558,3348
0.6438574691613516,3636
0.6416828682025274,3744
0.6344467426339785,3780
0.6329506287972132,3852
0.6300617655118307,3960
0.6207137256860733,4176
0.616879423459371,4212
0.6146088987588882,4644
0.6142459288239479,4788
0.6137339373429617,4860
0.6082454820473989,4896
0.6067183166742325,5040
0.6060907741387686,5220
0.6029449328780174,5328
0.6017864843209585,5508
0.5980438788731893,5544
0.5961601336797079,5760
0.5912397454182307,5904
0.5823817004760107,6048
0.5813669214646021,6120
0.5733839397629102,6588
0.5728188281257948,6696
0.5720898807048798,6984
0.5714548155665398,7272
0.571023516356945,7344
0.5699347083767256,7380
0.5668050895134608,7524
0.5664250031113625,7740
0.5623432025313377,7920
0.5607147042949995,8640
0.5592014044523239,8748
0.5541089773178101,9504
0.5499982660015424,9648
0.5465868835647901,10260
0.5453031435608864,10620
0.5429667085409164,10836
0.5415109371145567,10872
0.5410212874412537,10944
0.5405486424763998,11376
0.5388040567437807,11412
0.5382912009954453,11628
0.5355376824736595,11808
0.532508152226607,12816
0.5317214354872704,13248
0.5270831907788912,13428
0.5264134481549263,13752
0.5256545667846998,13968
0.5244306524594625,14256
0.5206547553340594,14436
0.5153502399722735,14688
0.5151174565156301,15300
0.5143808474143347,15444
0.5084434921542803,15516
0.5069965372482935,15624
0.504266565044721,16272
0.5035574610034624,16632
0.5016095613439878,16668
0.5012176136175791,17100
0.50115284572045,17280
0.5006044829885165,17352
0.49725869049628574,17532
0.49050745368003845,17784
0.4895975887775421,18036
0.4875166565179825,18900
0.481897475818793,19188
0.47918667395909625,19440
0.47896721959114075,19764
0.4751343900958697,20160
0.47265725831190747,20556
0.4709777335325877,20808
0.47097688416639966,21168
0.4675700068473816,21312
0.4635135630766551,21708
0.4620165328184764,22068
